========================================================================
TOKENIZATION OUTPUT — NLP PREPROCESSING PIPELINE
========================================================================

Total sentences : 4,962
Total tokens    : 130,002
  in  |  australia  |  neutral  |  we  |  are  |  now  |  taking  |  marimekko  |  there  |  on
  a  |  distinctly  |  more  |  significant  |  scale  |  neutral  |  what  |  we  |  think  |  neutral
  when  |  the  |  negotiations  |  were  |  started  |  neste  |  oil  |  anticipated  |  that  |  people
  would  |  be  |  affected  |  neutral  |  when  |  the  |  product  |  is  |  manufactured  |  in
  finland  |  it  |  is  |  also  |  packed  |  in  |  the  |  country  |  neutral  |  why
  not  |  give  |  your  |  bedroom  |  a  |  cool  |  makeover  |  for  |  summer  |  neutral
  virala  |  oy  |  ab  |  was  |  allocated  |  by  |  the  |  board  |  of  |  directors
  an  |  amount  |  of  |  eur  |  million  |  which  |  is  |  eur  |  million  |  lower
  than  |  maximum  |  announced  |  on  |  neutral  |  with  |  five  |  different  |  game  |  modes
  tournaments  |  player  |  and  |  multiplayer  |  modes  |  players  |  can  |  have  |  as  |  much
  fun  |  as  |  they  |  would  |  if  |  they  |  were  |  actually  |  fishing  |  neutral
  with  |  sales  |  of  |  billion  |  over  |  the  |  last  |  twelve  |  months  |  ending
  october  |  and  |  over  |  stores  |  in  |  states  |  dollar  |  general  |  is  |  the
  nation  |  largest  |  small  |  box  |  discount  |  retailer  |  neutral  |  with  |  the  |  federal
  government  |  putting  |  a  |  stake  |  in  |  the  |  ground  |  vendors  |  and  |  their
  customers  |  are  |  focused  |  on  |  meeting  |  the  |  deadline  |  neutral  |  with  |  this
  the  |  company  |  will  |  exit  |  the  |  contract  |  manufacturing  |  service  |  segment  |  neutral
  von  |  koskull  |  will  |  oversee  |  a  |  new  |  unit  |  of  |  nordea  |  which
  brings  |  together  |  corporate  |  merchant  |  banking  |  financial  |  institutions  |  and  |  capital  |  markets
  products  |  divisions  |  neutral  |  votorantim  |  celulose  |  e  |  papel  |  vcp  |  is  |  part
  of  |  the  |  votorantim  |  group  |  a  |  major  |  brazilian  |  conglomerate  |  neutral  |  yit
  acquired  |  investment  |  rights  |  to  |  a  |  square  |  metre  |  residential  |  project  |  in
  yaroslavl  |  and  |  to  |  a  |  square  |  metre  |  project  |  in  |  moscow  |  neutral
  yit  |  corporation  |  at  |  corporate  |  release  |  stock  |  exchange  |  release  |  yit  |  capital
  markets  |  day  |  in  |  london  |  on  |  wednesday  |  september  |  yit  |  will  |  hold
  a  |  capital  |  markets  |  day  |  for  |  investors  |  and  |  analysts  |  in  |  london
  neutral  |  yit  |  kausta  |  will  |  build  |  commercial  |  and  |  residential  |  highrises  |  in
  virsuliskes  |  area  |  neutral  |  you  |  not  |  alone  |  neutral  |  munich  |  january  |  bavaria
  industriekapital  |  ag  |  closed  |  the  |  acquisition  |  of  |  elcoteq  |  communications  |  technology  |  gmbh
  in  |  offenburg  |  germany  |  with  |  the  |  approval  |  of  |  the  |  neutral  |  cash
  flow  |  from  |  operating  |  activities  |  before  |  investments  |  was  |  eur  |  million  |  neutral
  cash  |  flow  |  from  |  operating  |  activities  |  before  |  investments  |  was  |  eur  |  million
  eur  |  million  |  neutral  |  christine  |  idzelis  |  eqt  |  partners  |  sheds  |  salcomp  |  swedish
  financial  |  investor  |  eqt  |  partners  |  is  |  selling  |  a  |  majority  |  of  |  its
  stake  |  in  |  mobile  |  phone  |  charger  |  manufacturer  |  salcomp  |  oyj  |  to  |  nordic
  investment  |  company  |  nordstjernan  |  ab  |  neutral  |  profit  |  before  |  taxes  |  was  |  eur
  million  |  neutral  |  the  |  group  |  s  |  cumulative  |  sales  |  during  |  the  |  review
  period  |  were  |  eur  |  million  |  eur  |  million  |  and  |  profit  |  before  |  taxes
  was  |  eur  |  million  |  neutral  |  the  |  group  |  s  |  profit  |  before  |  taxes
  was  |  eur  |  million  |  neutral  |  the  |  group  |  s  |  sales  |  during  |  the
  period  |  were  |  eur  |  million  |  eur  |  million  |  and  |  profit  |  before  |  taxes
  was  |  eur  |  million  |  neutral  |  compagnie  |  de  |  financement  |  foncier  |  is  |  to
  issue  |  a  |  benchmark  |  year  |  covered  |  deal  |  in  |  euros  |  neutral  |  the
  company  |  continued  |  the  |  development  |  of  |  a  |  fully  |  human  |  antibody  |  in
  its  |  antibody  |  program  |  neutral  |  the  |  profit  |  after  |  taxes  |  was  |  eur
  million  |  neutral  |  westpac  |  banking  |  corp  |  is  |  to  |  issue  |  a  |  benchmark
  year  |  frn  |  deal  |  in  |  euros  |  neutral  |  because  |  we  |  a  |  pension
  insurance  |  company  |  we  |  required  |  to  |  diversify  |  and  |  not  |  put  |  too
  much  |  in  |  one  |  asset  |  class  |  neutral  |  lemminkainen  |  talo  |  oy  |  lahti
  office  |  is  |  a  |  significant  |  logistics  |  and  |  business  |  premises  |  constructor  |  neutral
  marimekko  |  aims  |  to  |  expand  |  its  |  distribution  |  network  |  primarily  |  by  |  increasing
  the  |  number  |  of  |  concept  |  stores  |  and  |  neutral  |  marimekko  |  operates  |  in
  an  |  industry  |  in  |  which  |  changes  |  in  |  the  |  business  |  climate  |  are
  reflected  |  in  |  consumer  |  demand  |  neutral  |  over  |  the  |  years  |  the  |  color
  orange  |  has  |  become  |  synonymous  |  with  |  quality  |  neutral  |  the  |  enterprise  |  value
  of  |  the  |  fray  |  bentos  |  pulp  |  mill  |  and  |  forestal  |  oriental  |  totals
  approximately  |  billion  |  upm  |  said  |  neutral  |  the  |  new  |  unit  |  is  |  a
  major  |  investment  |  in  |  the  |  finnish  |  media  |  scene  |  neutral  |  these  |  developments
  partly  |  reflect  |  the  |  government  |  higher  |  activity  |  in  |  the  |  field  |  of
  dividend  |  policy  |  neutral  |  this  |  agreement  |  is  |  a  |  direct  |  result  |  of
  lcc  |  strategy  |  and  |  plan  |  that  |  was  |  announced  |  earlier  |  this  |  year
  said  |  dean  |  douglas  |  lcc  |  chief  |  executive  |  officer  |  neutral  |  this  |  could
  be  |  us  |  neutral  |  we  |  are  |  selling  |  an  |  information  |  systems  |  development
  business  |  to  |  the  |  finns  |  neutral  |  we  |  have  |  a  |  group  |  of
  volunteers  |  made  |  up  |  of  |  digicel  |  employees  |  who  |  will  |  manage  |  the
  distribution  |  over  |  the  |  next  |  week  |  they  |  will  |  distribute  |  the  |  tents
  to  |  more  |  than  |  organizations  |  digicel  |  haiti  |  ceo  |  maarten  |  boute  |  said
  neutral  |  we  |  have  |  come  |  out  |  with  |  a  |  decision  |  which  |  is
  based  |  on  |  our  |  preliminary  |  economic  |  operational  |  and  |  environmental  |  findings  |  karvinen
  said  |  neutral  |  april  |  finnish  |  machinery  |  rental  |  company  |  ramirent  |  oyj  |  hel
  said  |  today  |  it  |  has  |  acquired  |  the  |  assets  |  of  |  sector  |  player
  stavebni  |  doprava  |  a  |  mechanizace  |  sdm  |  in  |  the  |  czech  |  republic  |  for
  an  |  undisclosed  |  sum  |  negative  |  march  |  a  |  leakage  |  in  |  the  |  gypsum
  pond  |  was  |  detected  |  today  |  at  |  the  |  talvivaara  |  mine  |  positive  |  march
  finnish  |  it  |  company  |  digia  |  oyj  |  hel  |  announced  |  today  |  an  |  agreement
  with  |  major  |  nokia  |  oyj  |  hel  |  to  |  acquire  |  the  |  commercial  |  licensing
  and  |  service  |  business  |  related  |  to  |  nokia  |  qt  |  technology  |  neutral  |  m
  and  |  at  |  the  |  time  |  of  |  investment  |  it  |  is  |  fully  |  leased
  to  |  several  |  tenants  |  neutral  |  a  |  filter  |  is  |  used  |  to  |  packets
  to  |  determine  |  if  |  they  |  need  |  to  |  be  |  further  |  processed  |  by
  the  |  processor  |  of  |  the  |  network  |  device  |  positive  |  a  |  profit  |  is
  still  |  on  |  target  |  neutral  |  a  |  spokeswoman  |  for  |  the  |  italian  |  fashion
  house  |  declined  |  comment  |  on  |  the  |  settlement  |  neutral  |  a  |  total  |  m
  will  |  be  |  provided  |  as  |  secured  |  senior  |  debt  |  from  |  the  |  syndicate
  involving  |  pohjola  |  bank  |  hel  |  the  |  finnish  |  arm  |  of  |  nordea  |  bank
  ab  |  sto  |  nda  |  and  |  sampo  |  bank  |  hel  |  samas  |  negative  |  a
  total  |  of  |  jobs  |  will  |  be  |  reduced  |  at  |  the  |  raahe  |  steel
  works  |  neutral  |  a  |  total  |  of  |  new  |  citycon  |  shares  |  with  |  a
  nominal  |  value  |  of  |  eur  |  per  |  share  |  were  |  subscribed  |  between  |  and
  march  |  exercising  |  the  |  options  |  based  |  on  |  the  |  company  |  stock  |  option
  plan  |  neutral  |  a  |  total  |  six  |  of  |  the  |  polled  |  analysts  |  rated
  two  |  gave  |  buy  |  accumulate  |  three  |  gave  |  hold  |  and  |  only  |  one
  gave  |  sell  |  neutral  |  abn  |  now  |  represent  |  of  |  the  |  voting  |  rights
  and  |  share  |  capital  |  of  |  citycon  |  oyj  |  positive  |  according  |  to  |  finnish
  aktia  |  bank  |  managing  |  director  |  jussi  |  laitinen  |  the  |  bank  |  aim  |  is
  to  |  triple  |  the  |  number  |  of  |  its  |  customers  |  in  |  finland  |  in
  the  |  next  |  five  |  years  |  neutral  |  according  |  to  |  finnish  |  financial  |  services
  group  |  sampo  |  ceo  |  wahlroos  |  danish  |  danske  |  bank  |  acquisition  |  of  |  sampo
  bank  |  for  |  eur  |  was  |  the  |  largest  |  cash  |  deal  |  in  |  finland
  economic  |  history  |  neutral  |  according  |  to  |  finnish  |  tehtaat  |  ceo  |  matti  |  karppinen
  now  |  that  |  tehtaat  |  has  |  sold  |  the  |  majority  |  of  |  its  |  feed
  and  |  grain  |  business  |  it  |  will  |  quickly  |  start  |  to  |  look  |  for
  acquisitions  |  neutral  |  according  |  to  |  finnish  |  scanfil  |  founder  |  and  |  chairman  |  of
  the  |  board  |  jorma  |  takanen  |  the  |  company  |  has  |  to  |  look  |  for
  growth  |  abroad  |  neutral  |  finnish  |  property  |  investment  |  company  |  citycon  |  will  |  expand
  and  |  refurbish  |  shopping  |  center  |  in  |  stockholm  |  in  |  sweden  |  neutral  |  after
  items  |  of  |  eur  |  profit  |  amounted  |  to  |  eur  |  neutral  |  after  |  the
  acquisition  |  basware  |  preliminary  |  pro  |  forma  |  net  |  sales  |  for  |  amount  |  to
  eur  |  mn  |  and  |  preliminary  |  pro  |  forma  |  operating  |  profit  |  amounts  |  to
  eur  |  mn  |  neutral  |  after  |  the  |  sale  |  outokumpu  |  share  |  of  |  the
  technology  |  unit  |  will  |  be  |  reduced  |  to  |  some  |  percent  |  neutral  |  after
  the  |  transaction  |  danske  |  bank  |  becomes  |  an  |  equal  |  player  |  with  |  nordic
  bank  |  group  |  nordea  |  in  |  the  |  nordic  |  countries  |  neutral  |  ahlstrom  |  headquartered
  in  |  helsinki  |  finland  |  is  |  a  |  global  |  company  |  involved  |  in  |  the
  development  |  manufacture  |  and  |  marketing  |  of  |  high  |  performance  |  materials  |  neutral  |  ahlstrom
  headquartered  |  in  |  helsinki  |  finland  |  is  |  a  |  global  |  leader  |  in  |  the
  development  |  manufacture  |  and  |  marketing  |  of  |  high  |  performance  |  materials  |  neutral  |  ahlstrom
  corporation  |  anne  |  pirila  |  director  |  financial  |  communications  |  distribution  |  helsinki  |  stock  |  exchange
  main  |  media  |  ahlstrom  |  in  |  brief  |  ahlstrom  |  is  |  a  |  leader  |  in
  the  |  development  |  manufacture  |  and  |  marketing  |  of  |  high  |  performance  |  materials  |  neutral
  ahlstrom  |  corporation  |  seppo  |  parvi  |  cfo  |  distribution  |  main  |  media  |  ahlstrom  |  in
  brief  |  ahlstrom  |  is  |  a  |  global  |  leader  |  in  |  the  |  development  |  manufacture
  and  |  marketing  |  of  |  high  |  performance  |  nonwovens  |  and  |  specialty  |  papers  |  neutral
  ahlstrom  |  corporation  |  stock  |  exchange  |  announcement  |  at  |  a  |  total  |  of  |  new
  shares  |  of  |  ahlstrom  |  corporation  |  have  |  been  |  subscribed  |  with  |  option  |  rights
  under  |  the  |  company  |  stock  |  option  |  programs  |  i  |  and  |  ii  |  neutral
  aldata  |  solution  |  a  |  global  |  company  |  engaged  |  in  |  supplier  |  to  |  consumer
  business  |  process  |  optimization  |  has  |  announced  |  the  |  details  |  of  |  its  |  dollars
  for  |  dinosaurs  |  program  |  neutral  |  aldata  |  solution  |  oyj  |  thomas  |  hoyer  |  cfo
  more  |  information  |  aldata  |  solution  |  oyj  |  thomas  |  hoyer  |  cfo  |  tel  |  aldata
  in  |  brief  |  aldata  |  solution  |  is  |  one  |  of  |  the  |  global  |  leaders
  in  |  supply  |  chain  |  software  |  for  |  retail  |  wholesale  |  and  |  logistics  |  companies
  neutral  |  alexandria  |  march  |  patrik  |  flykt  |  and  |  timo  |  alakoski  |  both  |  of
  helsinki  |  finland  |  and  |  tapio  |  suihko  |  and  |  nadarajah  |  asokan  |  both  |  of
  espoo  |  finland  |  have  |  developed  |  a  |  method  |  of  |  mobility  |  support  |  of
  protocol  |  traffic  |  in  |  a  |  communication  |  system  |  neutral  |  alexandria  |  erkki  |  aho
  elimaki  |  finland  |  has  |  developed  |  a  |  method  |  and  |  apparatus  |  in  |  conjunction
  with  |  a  |  shoe  |  press  |  neutral  |  alexandria  |  risto  |  kontturi  |  of  |  rajamaki
  finland  |  and  |  jari  |  ylinen  |  of  |  hyvinkaa  |  finland  |  have  |  developed  |  an
  automated  |  transportation  |  system  |  with  |  a  |  transport  |  selection  |  neutral  |  all  |  depends
  on  |  financing  |  neutral  |  almost  |  two  |  thirds  |  of  |  olvi  |  net  |  sales
  come  |  from  |  outside  |  finland  |  neutral  |  also  |  cba  |  is  |  to  |  issue
  a  |  benchmark  |  year  |  fixed  |  rate  |  deal  |  in  |  euros  |  neutral  |  amanda
  capital  |  has  |  investments  |  in  |  private  |  equity  |  funds  |  and  |  in  |  over
  unquoted  |  companies  |  mainly  |  in  |  europe  |  neutral  |  among  |  other  |  industrial  |  stocks
  metso  |  added  |  pct  |  to  |  eur  |  wartsila  |  b  |  was  |  down  |  pct
  at  |  eur  |  and  |  rautaruukki  |  k  |  was  |  pct  |  lower  |  at  |  eur
  neutral  |  among  |  paper  |  issues  |  stora  |  enso  |  r  |  was  |  little  |  changed
  up  |  pct  |  at  |  eur  |  was  |  pct  |  higher  |  at  |  eur  |  and
  b  |  added  |  pct  |  to  |  eur  |  neutral  |  an  |  android  |  app  |  will
  be  |  coming  |  soon  |  neutral  |  an  |  apple  |  spokeswoman  |  said  |  the  |  company
  declined  |  to  |  comment  |  neutral  |  analysts  |  surveyed  |  by  |  thomson  |  financial  |  expected
  revenue  |  of  |  million  |  for  |  the  |  quarter  |  neutral  |  around  |  of  |  these
  reductions  |  will  |  be  |  implemented  |  through  |  pension  |  arrangements  |  neutral  |  around  |  percent
  of  |  the  |  world  |  fleet  |  is  |  over  |  years  |  old  |  and  |  needs
  to  |  be  |  scrapped  |  for  |  environmental  |  reasons  |  neutral  |  as  |  a  |  consequence
  of  |  the  |  merger  |  the  |  number  |  of  |  administration  |  personnel  |  at  |  the
  factories  |  will  |  be  |  reduced  |  by  |  six  |  neutral  |  as  |  a  |  result
  the  |  number  |  of  |  personnel  |  in  |  finland  |  will  |  be  |  reduced  |  by
  negative  |  as  |  a  |  result  |  some  |  persons  |  will  |  no  |  longer  |  be
  needed  |  neutral  |  as  |  much  |  biomass  |  will  |  be  |  used  |  as  |  can
  be  |  sourced  |  locally  |  with  |  the  |  rest  |  of  |  the  |  plant  |  fuel
  needs  |  met  |  by  |  peat  |  neutral  |  as  |  part  |  of  |  the  |  transaction
  the  |  paper  |  mill  |  remained  |  in  |  ownership  |  and  |  continued  |  galerie  |  art
  production  |  for  |  sappi  |  under  |  a  |  contract  |  positive  |  aspo  |  plc  |  stock
  exchange  |  announcement  |  may  |  at  |  an  |  increase  |  in  |  the  |  share  |  capital
  of  |  aspo  |  plc  |  totaling  |  eur  |  was  |  registered  |  today  |  neutral  |  aspo
  group  |  structure  |  and  |  business  |  operations  |  are  |  developed  |  persistently  |  without  |  any
  predefined  |  schedules  |  neutral  |  aspocomp  |  group  |  headquartered  |  in  |  helsinki  |  finland  |  develops
  interconnection  |  solutions  |  for  |  the  |  electronics  |  industry  |  neutral  |  based  |  in  |  helsinki
  finland  |  ramirent  |  has  |  branches  |  in  |  nordic  |  central  |  and  |  eastern  |  european
  countries  |  neutral  |  based  |  on  |  the  |  calendar  |  year  |  the  |  combined  |  company
  had  |  bn  |  in  |  pro  |  forma  |  annual  |  revenues  |  and  |  is  |  expected
  to  |  start  |  operations  |  with  |  employees  |  neutral  |  bavaria  |  industriekapital  |  ag  |  revenues
  were  |  eur  |  million  |  with  |  an  |  ebitda  |  of  |  eur  |  million  |  negative
  biohit  |  said  |  that  |  it  |  will  |  reduce  |  the  |  number  |  of  |  leased
  personnel  |  by  |  and  |  lay  |  off  |  of  |  its  |  own  |  personnel  |  neutral
  middle  |  layer  |  headbox  |  will  |  be  |  equipped  |  with  |  a  |  dilution  |  control
  system  |  neutral  |  boomerang  |  boats  |  had  |  net  |  sales  |  of  |  eur  |  mn
  and  |  it  |  made  |  an  |  operating  |  profit  |  of  |  eur  |  mn  |  in
  neutral  |  by  |  the  |  end  |  of  |  the  |  number  |  of  |  joint  |  branch
  offices  |  will  |  total  |  neutral  |  cameco  |  typically  |  prices  |  sales  |  contracts  |  using
  a  |  ratio  |  of  |  fixed  |  prices  |  and  |  spot  |  prices  |  neutral  |  capman
  the  |  private  |  equity  |  firm  |  has  |  held  |  a  |  first  |  close  |  on
  its  |  second  |  private  |  equity  |  real  |  estate  |  fund  |  as  |  it  |  continues
  its  |  push  |  into  |  the  |  property  |  sector  |  neutral  |  cargotec  |  business  |  areas
  also  |  include  |  the  |  container  |  handling  |  solutions  |  business  |  area  |  kalmar  |  and
  the  |  marine  |  cargo  |  handling  |  and  |  offshore  |  load  |  handling  |  solutions  |  business
  area  |  macgregor  |  neutral  |  cargotec  |  sales  |  totalled  |  eur  |  billion  |  in  |  and
  it  |  employs  |  approximately  |  people  |  neutral  |  cargotec  |  will  |  also  |  move  |  service
  and  |  installation  |  business  |  under  |  the  |  same  |  roof  |  with  |  its  |  service
  center  |  for  |  kalmar  |  and  |  macgregor  |  solutions  |  in  |  gothenburg  |  neutral  |  citigroup
  inc  |  nyse  |  c  |  deutsche  |  bank  |  nyse  |  db  |  and  |  pohjola  |  bank
  are  |  lead  |  managers  |  for  |  the  |  sale  |  neutral  |  coffee  |  will  |  be
  served  |  starting  |  at  |  eet  |  as  |  well  |  as  |  after  |  the  |  event
  neutral  |  combined  |  net  |  sales  |  in  |  were  |  million  |  and  |  ebitda  |  was
  million  |  neutral  |  combined  |  with  |  the  |  basware  |  enterprise  |  purchase  |  to  |  pay
  portfolio  |  it  |  provides  |  a  |  high  |  level  |  of  |  automation  |  for  |  procurement
  and  |  invoice  |  workflows  |  neutral  |  commenting  |  on  |  the  |  deal  |  shane  |  lennon
  svp  |  of  |  marketing  |  product  |  development  |  at  |  gypsii  |  said  |  positive  |  comparable
  net  |  sales  |  are  |  expected  |  to  |  increase  |  more  |  than  |  in  |  in
  line  |  with  |  group  |  target  |  neutral  |  componenta  |  has  |  production  |  lines  |  for
  products  |  at  |  karkkila  |  in  |  finland  |  at  |  weert  |  in  |  the  |  netherlands
  and  |  at  |  orhangazi  |  in  |  turkey  |  and  |  these  |  had  |  a  |  combined
  output  |  of  |  approximately  |  tonnes  |  and  |  net  |  sales  |  of  |  eur  |  million
  in  |  neutral  |  componenta  |  will  |  also  |  offer  |  a  |  subordinated  |  loan  |  for
  subscription  |  by  |  the  |  public  |  neutral  |  cs  |  cabot  |  main  |  consumers  |  on
  the  |  czech  |  and  |  slovak  |  market  |  are  |  tires  |  producers  |  barum  |  continental
  and  |  matador  |  continental  |  neutral  |  curators  |  have  |  divided  |  their  |  material  |  into
  eight  |  themes  |  neutral  |  currently  |  of  |  trainers  |  house  |  revenues  |  are  |  attributed
  to  |  the  |  finnish  |  market  |  neutral  |  currently  |  the  |  company  |  uses  |  eight
  similar  |  reach  |  stackers  |  and  |  four  |  empty  |  container  |  handlers  |  by  |  konecranes
  neutral  |  currently  |  alfred  |  a  |  palmberg  |  is  |  putting  |  the  |  finishing  |  touches
  to  |  one  |  of  |  finland  |  biggest  |  ever  |  and  |  bathroom  |  refurbishment  |  projects
  also  |  in  |  the  |  district  |  of  |  vuosaari  |  neutral  |  currently  |  glaston  |  employs
  approximately  |  persons  |  neutral  |  currently  |  it  |  operates  |  a  |  fleet  |  of  |  eight
  carriers  |  as  |  well  |  as  |  nine  |  pushers  |  and  |  barges  |  neutral  |  customers
  include  |  hotels  |  and  |  restaurants  |  as  |  well  |  as  |  wholesalers  |  and  |  some
  retailers  |  neutral  |  customers  |  wave  |  cards  |  in  |  front  |  of  |  the  |  reader
  to  |  make  |  payments  |  similar  |  to  |  touch  |  and  |  go  |  cards  |  used
  in  |  transport  |  systems  |  neutral  |  deliveries  |  will  |  start  |  in  |  the  |  second
  half  |  of  |  and  |  the  |  of  |  the  |  mill  |  is  |  scheduled  |  for
  neutral  |  delivery  |  is  |  expected  |  to  |  take  |  place  |  later  |  this  |  month
  neutral  |  deutsche  |  beteiligungs  |  as  |  well  |  as  |  a  |  private  |  equity  |  fund
  it  |  manages  |  first  |  bought  |  of  |  mce  |  in  |  a  |  secondary  |  buyout
  from  |  white  |  plains  |  financial  |  investor  |  andlinger  |  in  |  neutral  |  earnings  |  per
  share  |  eps  |  in  |  amounted  |  to  |  a  |  loss  |  of  |  neutral  |  earnings
  per  |  share  |  eps  |  in  |  the  |  first  |  quarter  |  amounted  |  to  |  a
  loss  |  of  |  neutral  |  economic  |  development  |  in  |  china  |  is  |  no  |  longer
  taking  |  place  |  only  |  on  |  the  |  east  |  coast  |  and  |  in  |  the
  shanghai  |  area  |  vauramo  |  says  |  neutral  |  eero  |  katajavuori  |  currently  |  group  |  vice
  president  |  human  |  resources  |  will  |  take  |  a  |  sabbatical  |  starting  |  from  |  october
  neutral  |  elcoteq  |  expects  |  its  |  net  |  sales  |  for  |  the  |  last  |  quarter
  of  |  to  |  be  |  on  |  the  |  level  |  of  |  the  |  third  |  quarter
  neutral  |  elcoteq  |  global  |  service  |  offering  |  covers  |  the  |  entire  |  lifecycle  |  of
  products  |  from  |  product  |  development  |  to  |  services  |  neutral  |  enp  |  newswire  |  march
  release  |  date  |  a  |  total  |  of  |  talvivaara  |  mining  |  company  |  plc  |  new
  shares  |  were  |  subscribed  |  for  |  during  |  the  |  period  |  between  |  january  |  and
  february  |  under  |  the  |  company  |  stock  |  option  |  rights  |  neutral  |  eq  |  bank
  forecasts  |  olvi  |  net  |  sales  |  at  |  eur  |  in  |  the  |  second  |  quarter
  of  |  and  |  operating  |  profit  |  at  |  eur  |  mn  |  neutral  |  established  |  in
  capman  |  manages  |  nordic  |  buyout  |  mezzanine  |  technology  |  life  |  science  |  and  |  real
  estate  |  funds  |  with  |  approximately  |  euro  |  billion  |  billion  |  in  |  total  |  capital
  neutral  |  eur  |  mn  |  of  |  this  |  was  |  net  |  interest  |  income  |  neutral
  exel  |  board  |  of  |  directors  |  will  |  propose  |  a  |  dividend  |  of  |  euro
  per  |  share  |  for  |  at  |  the  |  annual  |  general  |  meeting  |  on  |  april
  neutral  |  financing  |  of  |  the  |  project  |  will  |  come  |  mainly  |  from  |  china
  neutral  |  finnish  |  component  |  supplier  |  componenta  |  corporation  |  omx  |  helsinki  |  said  |  on
  monday  |  june  |  that  |  it  |  is  |  changing  |  its  |  pricing  |  cycle  |  due
  to  |  the  |  increase  |  of  |  raw  |  material  |  prices  |  neutral  |  finnish  |  construction
  company  |  yit  |  hel  |  said  |  it  |  had  |  agreed  |  to  |  take  |  over
  german  |  facility  |  engineering  |  and  |  facility  |  systems  |  firm  |  caverion  |  for  |  m
  neutral  |  finnish  |  fibers  |  and  |  plastics  |  producer  |  suominen  |  corporation  |  omx  |  helsinki
  reported  |  on  |  wednesday  |  october  |  an  |  operating  |  loss  |  of  |  m  |  on
  net  |  sales  |  of  |  m  |  for  |  the  |  third  |  quarter  |  of  |  neutral
  finnish  |  neste  |  oil  |  that  |  was  |  previously  |  on  |  the  |  list  |  has
  fallen  |  off  |  the  |  list  |  completely  |  neutral  |  finnish  |  silicon  |  wafer  |  technology
  company  |  okmetic  |  oyj  |  omx  |  helsinki  |  said  |  on  |  wednesday  |  september  |  that
  it  |  will  |  invest  |  in  |  its  |  sensor  |  wafer  |  business  |  during  |  neutral
  finnish  |  silicon  |  wafers  |  maker  |  okmetic  |  oyj  |  said  |  on  |  september  |  that
  it  |  will  |  invest  |  a  |  total  |  of  |  mln  |  euro  |  mln  |  in
  its  |  sensor  |  wafer  |  business  |  negative  |  finnish  |  sports  |  equipment  |  company  |  amer
  sports  |  said  |  it  |  has  |  decided  |  to  |  lay  |  off  |  workers  |  from
  its  |  salomon  |  division  |  in  |  france  |  neutral  |  fiskars  |  is  |  also  |  engaged
  in  |  the  |  global  |  supply  |  of  |  marine  |  and  |  energy  |  equipment  |  solutions
  and  |  services  |  through  |  its  |  associated  |  company  |  wartsila  |  corporation  |  neutral  |  fiskars
  r  |  founded  |  in  |  is  |  one  |  of  |  the  |  oldest  |  companies  |  in
  the  |  world  |  and  |  is  |  the  |  largest  |  manufacturer  |  of  |  lightweight  |  stainless
  steel  |  scissors  |  in  |  the  |  neutral  |  fl  |  group  |  private  |  equity  |  division
  manages  |  all  |  operating  |  companies  |  including  |  icelandair  |  group  |  fl  |  travel  |  group
  bluebird  |  and  |  sterling  |  neutral  |  following  |  the  |  acquisitions  |  panostaja  |  will  |  establish
  a  |  new  |  business  |  unit  |  which  |  will  |  focus  |  on  |  heat  |  treatment
  of  |  metals  |  neutral  |  following  |  the  |  demerger  |  the  |  vice  |  president  |  of
  the  |  group  |  pharmaceutical  |  trade  |  in  |  finland  |  jukka  |  niemi  |  will  |  be
  appointed  |  managing  |  director  |  of  |  oriola  |  in  |  addition  |  to  |  his  |  current
  responsibilities  |  neutral  |  following  |  the  |  divestment  |  fiskars  |  outdoor  |  unit  |  will  |  comprise
  the  |  brands  |  gerber  |  silva  |  and  |  buster  |  and  |  will  |  focus  |  on
  knives  |  compasses  |  mobile  |  lighting  |  pedometers  |  and  |  aluminium  |  boats  |  neutral  |  following
  the  |  issue  |  the  |  number  |  of  |  shares  |  in  |  the  |  swedish  |  company
  will  |  grow  |  by  |  neutral  |  following  |  the  |  transaction  |  tulikivi  |  restructured  |  its
  operations  |  into  |  the  |  soapstone  |  fireplaces  |  business  |  natural  |  stone  |  product  |  business
  and  |  ceramic  |  products  |  business  |  units  |  neutral  |  for  |  net  |  profit  |  was
  eur  |  million  |  and  |  the  |  company  |  paid  |  a  |  dividend  |  of  |  eur
  apiece  |  neutral  |  for  |  net  |  profit  |  was  |  and  |  the  |  company  |  paid
  a  |  dividend  |  of  |  apiece  |  neutral  |  fortum  |  is  |  now  |  considering  |  taking
  part  |  in  |  nuclear  |  energy  |  projects  |  outside  |  of  |  finland  |  neutral  |  from
  on  |  the  |  emphasis  |  of  |  kyro  |  strategy  |  has  |  been  |  on  |  glaston
  growth  |  neutral  |  garmin  |  fell  |  percent  |  to  |  at  |  in  |  new  |  york
  while  |  google  |  slid  |  percent  |  at  |  neutral  |  ge  |  is  |  building  |  the
  facility  |  with  |  wind  |  power  |  developer  |  invenergy  |  wind  |  llc  |  neutral  |  glaston
  headquartered  |  in  |  tampere  |  finland  |  is  |  a  |  growing  |  and  |  international  |  glass
  technology  |  company  |  neutral  |  group  |  net  |  sales  |  in  |  the  |  third  |  quarter
  of  |  totaled  |  eur  |  mn  |  and  |  operating  |  profit  |  eur  |  mn  |  neutral
  gs  |  engineering  |  will  |  install  |  the  |  valves  |  at  |  a  |  liquefied  |  natural
